Date;^BVSP;CSMG3.SA;BBAS3.SA;CPFE3.SA;BRAP4.SA;BBSE3.SA
2023-07-05;119549.0;17.418479919433594;23.30599975585937;31.51518440246582;19.816007614135746;28.858184814453125
2023-07-06;117426.0;17.307043075561523;22.96395301818848;32.046592712402344;19.71719741821289;28.62922477722168
2023-07-07;118898.0;17.829938888549805;23.409086227416992;32.1546745300293;19.887868881225582;28.684175491333008
2023-07-10;117942.0;17.761362075805664;22.978012084960938;32.12765121459961;19.627368927001957;28.555957794189453
2023-07-11;117220.0;17.641353607177734;22.650022506713867;32.06460189819336;20.04057502746582;28.482690811157227
2023-07-12;117666.0;17.795650482177734;22.284547805786133;31.794395446777344;20.139387130737305;28.152986526489254
2023-07-13;119264.0;17.812795639038086;22.495397567749023;32.10063171386719;20.498699188232425;28.07971954345703
2023-07-14;117711.0;17.3327579498291;22.345460891723636;31.95652198791504;20.507680892944336;27.87823486328125
2023-07-17;118219.0;17.521343231201172;22.542255401611328;31.92049217224121;20.32802391052246;27.914867401123047
2023-07-18;117841.0;17.435619354248047;22.617225646972656;31.83942985534668;20.426836013793945;27.594322204589844
2023-07-19;117552.0;17.29846954345703;22.223636627197266;31.668296813964844;20.21124839782715;27.640113830566406
2023-07-20;118083.0;17.12702751159668;22.467283248901367;31.569223403930664;20.29209518432617;28.125511169433597
2023-07-21;120217.0;17.375619888305664;22.73436164855957;32.03758239746094;20.444801330566406;28.43689727783203
2023-07-24;121342.0;17.28132438659668;22.289236068725582;32.22672653198242;20.92088890075684;28.82155036926269
2023-07-25;122008.0;17.307043075561523;22.172096252441406;32.2447395324707;21.71137237548828;28.56511688232422
2023-07-26;122560.0;17.384193420410156;22.35951805114746;32.505943298339844;21.65747833251953;28.7574405670166
2023-07-27;119990.0;17.341327667236328;21.900331497192383;32.34381866455078;21.361045837402344;28.27204704284668
2023-07-28;120187.0;17.375619888305664;22.153350830078125;32.33481216430664;20.714282989501957;28.638383865356445
2023-07-31;121943.0;17.34990119934082;22.57973861694336;32.22672653198242;21.10054397583008;28.501007080078125
2023-08-01;121248.0;15.884076118469238;22.19083595275879;32.2447395324707;21.019699096679688;28.62922477722168
2023-08-02;120859.0;15.704059600830078;22.289236068725582;32.316795349121094;20.750215530395508;28.64754295349121
2023-08-03;120586.0;15.6011962890625;22.326719284057617;31.866453170776367;20.81309509277344;28.684175491333008
2023-08-04;119508.0;15.438326835632324;22.20958137512207;31.71333312988281;20.893939971923828;28.858184814453125
2023-08-07;119380.0;15.28403091430664;22.172096252441406;31.41610717773437;20.947837829589844;29.54506492614746
2023-08-08;119090.0;15.266885757446287;22.01747131347656;31.50617408752441;20.714282989501957;29.352739334106445
2023-08-09;118409.0;15.198309898376465;21.89564323425293;31.30802345275879;20.59750747680664;29.45348358154297
2023-08-10;118350.0;15.21545124053955;22.00809860229492;31.281003952026367;20.4627685546875;29.535907745361328
2023-08-11;118065.0;15.164019584655762;22.24706268310547;31.68631362915039;20.408870697021484;29.737394332885746
2023-08-14;116810.0;15.249741554260254;22.026840209960938;32.06460189819336;19.663299560546875;30.01214599609375
2023-08-15;116171.0;15.189736366271973;21.90970230102539;31.785388946533203;19.232126235961918;29.81066131591797
2023-08-16;115592.0;15.721206665039062;22.09712600708008;31.83042335510254;19.05246925354004;29.80150413513184
2023-08-17;114982.0;15.729777336120604;22.30328941345215;31.72234344482422;19.32195472717285;28.57565689086914
2023-08-18;115409.0;15.798354148864746;22.392316818237305;31.697797775268555;19.142297744750977;28.787612915039062
